"","soil.pCO2","soil.d13C","soil.R14C","cave.pCO2","gas.volume","d13C","d44Ca","MgCa","DCP","ts"
"1",2780,-19.01,100,2000,150,-8.04149806190146,-0.533740591583731,1.45842670187979,7.09932545716916,7926
"2",2780,-19.01,100,2000,200,-8.05719439202823,-0.532302438046806,1.46011130032383,5.46737816557716,7926
"3",2780,-19.01,95,2000,400,-8.08296371507589,-0.53013079259201,1.46266048471539,7.70792897262501,7926
"4",2780,-19.01,95,2000,450,-8.08600083031996,-0.52988834181722,1.46294548994174,7.41896754169808,7926
"5",2780,-19.01,95,2000,500,-8.08842636892948,-0.529694341408371,1.46317359795005,7.18587944458071,7926
"6",3280,-19.23,100,2000,150,-8.04143456385009,-0.470584810846275,1.53376254012975,6.44766087668155,7926
"7",3280,-19.23,100,2000,200,-8.05759447042875,-0.468849317256104,1.53591333244479,4.95460582404974,7926
"8",3280,-19.23,95,2000,350,-7.91715363343726,-0.418842220282323,1.59824986966119,7.77906576855421,7926
"9",3280,-19.23,95,2500,350,-8.25183355523329,-0.51699877368161,1.47821412906602,7.77906576855421,7926
"10",3280,-19.23,95,2000,400,-7.92063752875194,-0.418394964504687,1.59882773862688,7.44569806403789,7926
"11",3280,-19.23,95,2500,400,-8.25565553947582,-0.516703053698664,1.47856712508232,7.44569806403789,7926
"12",3280,-19.23,95,2000,450,-7.92378156293716,-0.418046579525377,1.59927804626923,7.18393411077239,7926
"13",3280,-19.23,95,2500,450,-8.25922442565918,-0.516472711872051,1.4788421661903,7.18393411077239,7926
"14",3280,-19.23,95,2000,500,-7.9260002337489,-0.417767812201375,1.59963848134485,6.97294267150914,7926
"15",3280,-19.23,95,2500,500,-8.26184865531077,-0.516288385143615,1.47906231423016,6.97294267150914,7926
"16",3780,-19.38,100,2000,150,-7.97074910017814,-0.405067432769246,1.61616733375789,5.93220454024117,7926
"17",3780,-19.38,100,2500,150,-8.32046168451761,-0.507880970815333,1.48915372037586,5.93220454024117,7926
"18",3780,-19.38,100,2000,200,-7.82499920163515,-0.355405269800158,1.68129800092632,4.550541294262,7926
"19",3780,-19.38,100,2500,200,-8.15726011837303,-0.453395023790826,1.55524156716254,4.550541294262,7926
"20",3780,-19.38,95,2000,300,-7.8406976671741,-0.353136437945656,1.68439309337437,7.95037869568653,7926
"21",3780,-19.38,95,2500,300,-8.17496677798724,-0.451733061579862,1.55733905915669,7.95037869568653,7926
"22",3780,-19.38,95,2000,350,-7.84507468024576,-0.352486439822219,1.68528106516046,7.54658691408742,7926
"23",3780,-19.38,95,2500,350,-8.17990511868949,-0.451256921446763,1.5579406556197,7.54658691408742,7926
"24",3780,-19.38,95,2000,400,-7.84918564469295,-0.351998577128532,1.68594791145997,7.24025106850478,7926
"25",3780,-19.38,95,2500,400,-8.1844342409525,-0.450899347389511,1.55839264611594,7.24025106850478,7926
"26",3780,-19.38,95,2000,450,-7.85178446232171,-0.351618783771768,1.68646725783486,6.99989022124768,7926
"27",3780,-19.38,95,2500,450,-8.18744106130265,-0.450621088689873,1.55874449541457,6.99989022124768,7926
"28",3780,-19.38,95,2000,500,-7.85404259404199,-0.351314805905334,1.68688307090996,6.80626379146179,7926
"29",3780,-19.38,95,2500,500,-8.18986014655099,-0.450398271557462,1.55902631685212,6.80626379146179,7926
"30",4780,-19.6,100,2000,100,-7.71961599446802,-0.275978179592684,1.79186283263313,7.45260399271642,7926
"31",4780,-19.6,100,2500,100,-8.05789514214328,-0.376405237372479,1.65425499381574,7.45260399271642,7926
"32",4780,-19.6,100,3000,100,-8.4392679530656,-0.488840400862278,1.51237282571676,7.45260399271642,7926
"33",4780,-19.6,100,3500,100,-8.64902311900229,-0.550417525940539,1.4397454646464,7.45260399271642,7926
"34",4780,-19.6,100,2000,150,-7.74654022751275,-0.271393386477525,1.79856421732443,5.16292963698366,7926
"35",4780,-19.6,100,2500,150,-8.08788525579707,-0.372810033673066,1.65911043716826,5.16292963698366,7926
"36",4780,-19.6,100,3000,150,-8.27437305862222,-0.427937806887435,1.58777804042508,5.16292963698366,7926
"37",4780,-19.6,100,3500,150,-8.68497079768027,-0.548723831068743,1.44173258166651,5.16292963698366,7926
"38",4780,-19.6,95,2000,300,-7.77647123193059,-0.266776036632388,1.8053427633378,7.5543731536645,7926
"39",4780,-19.6,95,2500,300,-8.12076391405114,-0.369187704505114,1.66402030746411,7.5543731536645,7926
"40",4780,-19.6,95,3000,300,-8.30914587014975,-0.42488931300888,1.59173330799946,7.5543731536645,7926
"41",4780,-19.6,95,3500,300,-8.50972470896472,-0.484032595446049,1.51831638994516,7.5543731536645,7926
"42",4780,-19.6,95,4000,300,-8.72433856746813,-0.54701600182927,1.44374084349437,7.5543731536645,7926
"43",4780,-19.6,95,2000,350,-7.78083668445884,-0.266113206026097,1.80631829658783,7.20313653355431,7926
"44",4780,-19.6,95,2500,350,-8.12576991865832,-0.36866733281371,1.66472712487971,7.20313653355431,7926
"45",4780,-19.6,95,3000,350,-8.31429017165775,-0.424451144802496,1.59230286690619,7.20313653355431,7926
"46",4780,-19.6,95,3500,350,-8.51528772382115,-0.483685525471733,1.5187467257473,7.20313653355431,7926
"47",4780,-19.6,95,4000,350,-8.73006844018676,-0.546770155651188,1.44403032480432,7.20313653355431,7926
"48",4780,-19.6,95,2000,400,-7.78436243992331,-0.265616389877654,1.80704988022899,6.93704899861626,7926
"49",4780,-19.6,95,2500,400,-8.12947338128278,-0.368277572061482,1.66525676269298,6.93704899861626,7926
"50",4780,-19.6,95,3000,400,-8.31831829327301,-0.424123117333419,1.59272941767836,6.93704899861626,7926
"51",4780,-19.6,95,3500,400,-8.51942770774738,-0.483425878568977,1.51906876437257,6.93704899861626,7926
"52",4780,-19.6,95,4000,400,-8.73459247647657,-0.546586513864855,1.44424661008296,6.93704899861626,7926
"53",4780,-19.6,95,2000,450,-7.7869694861491,-0.265229406972711,1.80761997978806,6.72849545184626,7926
"54",4780,-19.6,95,2500,450,-8.13242826886895,-0.367973862841819,1.66566962013959,6.72849545184626,7926
"55",4780,-19.6,95,3000,450,-8.32135311483895,-0.42386745353884,1.5930619814444,6.72849545184626,7926
"56",4780,-19.6,95,3500,450,-8.52279008141288,-0.483223366800289,1.51932001334417,6.72849545184626,7926
"57",4780,-19.6,95,4000,450,-8.73804882763984,-0.546443142326769,1.44441551224778,6.72849545184626,7926
"58",4780,-19.6,95,2000,500,-7.78955530725123,-0.264919725291191,1.80807634824914,6.56063678506197,7926
"59",4780,-19.6,95,2500,500,-8.13529395032209,-0.367730765309049,1.66600017092553,6.56063678506197,7926
"60",4780,-19.6,95,3000,500,-8.32427060548568,-0.423662837573557,1.59332820484946,6.56063678506197,7926
"61",4780,-19.6,95,3500,500,-8.52576650681558,-0.483061321212341,1.51952109660012,6.56063678506197,7926
"62",4780,-19.6,95,4000,500,-8.741092207454,-0.546328442452282,1.44455065763385,6.56063678506197,7926
"63",5780,-19.74,100,2500,100,-7.92686748290605,-0.293062864173077,1.76887905457562,6.67782943820798,7926
"64",5780,-19.74,100,3000,100,-8.11354705069123,-0.34860777228829,1.6922575761453,6.67782943820798,7926
"65",5780,-19.74,100,3500,100,-8.52473785575958,-0.470296828266825,1.53547820455788,6.67782943820798,7926
"66",5780,-19.74,100,4000,100,-8.7525326162794,-0.53728659421004,1.45526935369592,6.67782943820798,7926
"67",5780,-19.74,100,4500,100,-8.7525326162794,-0.53728659421004,1.45526935369592,6.67782943820798,7926
"68",5780,-19.74,100,2500,150,-7.95501732366977,-0.289250818391151,1.77440882185856,4.60975988380496,7926
"69",5780,-19.74,100,3000,150,-8.14314578003106,-0.345269966199879,1.69689269240891,4.60975988380496,7926
"70",5780,-19.74,100,3500,150,-8.34352008536177,-0.404741816746212,1.61819643134115,4.60975988380496,7926
"71",5780,-19.74,100,4000,150,-8.55792911122533,-0.468065762906811,1.5382912606906,4.60975988380496,7926
"72",5780,-19.74,100,4500,150,-8.78761135106376,-0.535705058681057,1.45715743634774,4.60975988380496,7926
"73",5780,-19.74,95,2500,250,-7.97894555435952,-0.286182444270811,1.77887477100616,7.70577295504061,7926
"74",5780,-19.74,95,3000,250,-8.16813895807855,-0.342582942026937,1.70063542225326,7.70577295504061,7926
"75",5780,-19.74,95,3500,250,-8.369891065099,-0.402476537322505,1.621207176751,7.70577295504061,7926
