Site,Collection_month,pCO2,pCO2_1SD,inv_pCO2,d13C,d13Ccorr,d13C_1SD,Season
Gloria,20.11.19,989.7,8.74,0.00101,-20.85,-19.35,0.13,Summer
Gravel,20.11.19,1157.96,0.48,0.00086,-21.99,-20.49,0.05,Summer
Skyscraper,20.11.19,1319.38,3.9,0.00076,-22.58,-21.08,0.13,Summer
Playground,20.11.19,1301.05,0.48,0.00077,-22.47,-20.97,0.1,Summer
Hermione,20.11.19,624.65,2.76,0.0016,-16.91,-15.41,0.05,Summer
Gloria,17.12.19,1171.33,3.86,0.00085,-20.28,-18.78,0.37,Winter
Gravel,17.12.19,1082.83,0.62,0.00092,-20.37,-18.87,0.25,Winter
Skyscraper,17.12.19,1225,1.41,0.00082,-21.16,-19.66,0.25,Winter
Playground,17.12.19,1166.33,2.05,0.00086,-20.6,-19.1,0.14,Winter
Gloria,16.01.20,746.93,1.89,0.00134,-17.57,-16.07,0.2,Winter
Gravel,16.01.20,634.93,0.47,0.00157,-16.17,-14.67,0.1,Winter
Skyscraper,16.01.20,700.93,1.25,0.00143,-16.97,-15.47,0.09,Winter
Playground,16.01.20,692.6,4.19,0.00144,-16.48,-14.98,0.13,Winter
Gloria,24.02.20,569.45,1.68,0.00176,-16.06,-14.56,0.27,Winter
Gravel,24.02.20,509.41,0.23,0.00196,-14.08,-12.58,0.05,Winter
Skyscraper,24.02.20,509.64,0.37,0.00196,-14.01,-12.51,0.15,Winter
Playground,24.02.20,549.54,0.69,0.00182,-15.33,-13.83,0.25,Winter
Gloria,05.05.20,703.98,,0.00142,-14.6,-13.1,,Summer
Gravel,05.05.20,1284.3,,0.00078,-20.58,-19.08,,Summer
Skyscraper,05.05.20,4120.12,,0.00024,-26,-24.5,,Summer
Playground,05.05.20,3223.71,,0.00031,-24.43,-22.93,,Summer
Gloria,28.05.20,617.28,,0.00162,-16.33,-14.83,,Summer
Gravel,28.05.20,1206.87,,0.00083,-20.25,-18.75,,Summer
Skyscraper,28.05.20,3536.19,,0.00028,-24.43,-22.93,,Summer
Playground,28.05.20,4105.85,,0.00024,-24.48,-22.98,,Summer
Gloria,24.06.20,798.63,,0.00125,-17.16,-15.66,,Summer
Gravel,24.06.20,1280.77,,0.00078,-20.51,-19.01,,Summer
Skyscraper,24.06.20,3675.16,,0.00027,-24.51,-23.01,,Summer
Gloria,07.08.20,941.25,,0.00106,-18.62,-17.12,,Summer
Gravel,07.08.20,1382.65,,0.00072,-20.80,-19.30,,Summer
Skyscraper,07.08.20,4054.74,,0.00025,-23.66,-22.16,,Summer
Playground,07.08.20,4198.90,,0.00024,-23.86,-22.36,,Summer
Forest,01.11.19,433.26,1.16,0.00231,-12.62,-11.12,0.05,Summer
Forest,01.12.19,444.67,3.77,0.00225,-11.75,-10.25,0.45,Winter
Forest,01.01.20,427.93,0.47,0.00234,-9.97,-8.47,0.25,Winter
Forest,01.02.20,460.15,1.08,0.00217,-12.24,-10.74,0.22,Winter
Forest,01.05.20,451.44,,0.00222,-7.05,-5.55,,Summer
Forest,31.05.20,488.09,,0.00205,-12.97,-11.47,,Summer
Forest,24.06.20,468.89,,0.00213,-11.70,-10.20,,Summer
Forest,07.08.20,438.24,,0.00228,-11.54,-10.04,,Summer
Atmosphere,,280,,0.00357,,-6.5,,Summer
