site_name,site_id,latitude,longitude,entity_id,entity_name,sample_id,depth_sample,interp_age,d13C_measurement
Villars cave,4,45.43,0.78,29,Vil-stm11,298071,0,15875,-5.04989164
Villars cave,4,45.43,0.78,29,Vil-stm11,298072,2,15746,-5.341745033
Villars cave,4,45.43,0.78,29,Vil-stm11,298073,5,15552,-5.253916444
Villars cave,4,45.43,0.78,29,Vil-stm11,298074,8,15359,-5.169778707
Villars cave,4,45.43,0.78,29,Vil-stm11,298075,10,15230,-5.379604612
Villars cave,4,45.43,0.78,29,Vil-stm11,298076,12.5,15077,-5.607155866
Villars cave,4,45.43,0.78,29,Vil-stm11,298077,15,14923,-5.815359945
Villars cave,4,45.43,0.78,29,Vil-stm11,298078,18,14739,-5.854219018
Villars cave,4,45.43,0.78,29,Vil-stm11,298079,20,14617,-5.989624645
Villars cave,4,45.43,0.78,29,Vil-stm11,298080,22.5,14463,-6.240623701
Villars cave,4,45.43,0.78,29,Vil-stm11,298081,25,14310,-6.297617804
Villars cave,4,45.43,0.78,29,Vil-stm11,298082,27.5,14156,-6.272247412
Villars cave,4,45.43,0.78,29,Vil-stm11,298083,30,14037,-6.190226091
Villars cave,4,45.43,0.78,29,Vil-stm11,298084,33,13893,-6.237513051
Villars cave,4,45.43,0.78,29,Vil-stm11,298085,35,13798,-6.481002109
Villars cave,4,45.43,0.78,29,Vil-stm11,298086,37.5,13679,-6.9713237
Villars cave,4,45.43,0.78,29,Vil-stm11,298087,40,13559,-7.204267549
Villars cave,4,45.43,0.78,29,Vil-stm11,298088,42.5,13440,-7.480126451
Villars cave,4,45.43,0.78,29,Vil-stm11,298089,45,13321,-7.719208893
Villars cave,4,45.43,0.78,29,Vil-stm11,298090,47.5,13238,-8.219998877
Villars cave,4,45.43,0.78,29,Vil-stm11,298091,50,13155,-8.717258389
Villars cave,4,45.43,0.78,29,Vil-stm11,298092,52,13088,-8.423827656
Villars cave,4,45.43,0.78,29,Vil-stm11,298093,55,12594,-8.468830347
Villars cave,4,45.43,0.78,29,Vil-stm11,298094,56.2,12397,-8.315518247
Villars cave,4,45.43,0.78,29,Vil-stm11,298095,57.5,12229,-8.162206148
Villars cave,4,45.43,0.78,29,Vil-stm11,298096,58,12165,-7.984535227
Villars cave,4,45.43,0.78,29,Vil-stm11,298097,60,11906,-7.806864305
Villars cave,4,45.43,0.78,29,Vil-stm11,298098,60.5,11841,-7.806864305
Villars cave,4,45.43,0.78,29,Vil-stm11,298100,62.5,11168,-7.433868494
Villars cave,4,45.43,0.78,29,Vil-stm11,298101,65,10797,-8.61507155
Villars cave,4,45.43,0.78,29,Vil-stm11,298102,67.5,10426,-9.248772435
Villars cave,4,45.43,0.78,29,Vil-stm11,298103,68.7,10249,-9.124357258
Villars cave,4,45.43,0.78,29,Vil-stm11,298104,70,10056,-8.999942081
Villars cave,4,45.43,0.78,29,Vil-stm11,298105,71,9925,-8.762832166
Villars cave,4,45.43,0.78,29,Vil-stm11,298106,72.5,9924,-8.762832166
Villars cave,4,45.43,0.78,29,Vil-stm11,298107,75,9922,-10.58637706
Villars cave,4,45.43,0.78,29,Vil-stm11,298108,77.5,9920,-10.45949542
Villars cave,4,45.43,0.78,29,Vil-stm11,298109,80,9918,-10.30518007
Villars cave,4,45.43,0.78,29,Vil-stm11,298110,82.5,9915,-10.1678259
Villars cave,4,45.43,0.78,29,Vil-stm11,298111,85,9913,-10.42605804
Villars cave,4,45.43,0.78,29,Vil-stm11,298112,87.5,9911,-10.56555814
Villars cave,4,45.43,0.78,29,Vil-stm11,298113,90,9909,-10.51208325
Villars cave,4,45.43,0.78,29,Vil-stm11,298114,92.5,9907,-10.65633875
Villars cave,4,45.43,0.78,29,Vil-stm11,298115,95,9859,-10.64560776
Villars cave,4,45.43,0.78,29,Vil-stm11,298116,97.5,9811,-10.50043607
Villars cave,4,45.43,0.78,29,Vil-stm11,298117,100,9763,-10.41615334
Villars cave,4,45.43,0.78,29,Vil-stm11,298118,102,9725,-10.37194969
Villars cave,4,45.43,0.78,29,Vil-stm11,298119,104.5,9677,-10.48226573
Villars cave,4,45.43,0.78,29,Vil-stm11,298120,105,9667,-10.59258176
Villars cave,4,45.43,0.78,29,Vil-stm11,298121,105.9,9648,-10.59258176
Villars cave,4,45.43,0.78,29,Vil-stm11,298123,106.1,8559,-9.540456876
Villars cave,4,45.43,0.78,29,Vil-stm11,298124,108,8553,-9.540456876
Villars cave,4,45.43,0.78,29,Vil-stm11,298125,110,8547,-9.540456876
Villars cave,4,45.43,0.78,29,Vil-stm11,298126,115,8533,-9.939555843
Villars cave,4,45.43,0.78,29,Vil-stm11,298127,120,8518,-9.717706444
Villars cave,4,45.43,0.78,29,Vil-stm11,298128,122.5,8511,-9.745435722
Villars cave,4,45.43,0.78,29,Vil-stm11,298129,125,8504,-9.773164999
Villars cave,4,45.43,0.78,29,Vil-stm11,298130,130,8489,-9.759999991
Villars cave,4,45.43,0.78,29,Vil-stm11,298131,135,8474,-9.715117143
Villars cave,4,45.43,0.78,29,Vil-stm11,298132,140,8460,-9.866434198
Villars cave,4,45.43,0.78,29,Vil-stm11,298133,145,8445,-9.759614483
Villars cave,4,45.43,0.78,29,Vil-stm11,298134,150,8431,-9.663975851
Villars cave,4,45.43,0.78,29,Vil-stm11,298135,155,8416,-9.651980436
Villars cave,4,45.43,0.78,29,Vil-stm11,298136,160,8402,-9.701418915
